USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
35770,35046,MILDENHALL RAF,UK,,EGUN,52.367,0.483,10,19990101,20231023
35830,35034,LAKENHEATH RAF,UK,,EGUL,52.417,0.567,10,19990102,20231023
35963,35048,BENTWATERS RAF,UK,,EGVJ,52.133,1.433,26,19930104,19930331
37970,35047,MANSTON,UK,,EGMH,51.35,1.333,50,19300228,20231023
40180,16201,KEFLAVIK NAVAL AIR STATION,IC,,BIKF,63.967,-22.6,52.1,19421001,20231023
49999,1,BARBER,GL,,,71.67,-38.17,3170,19900726,19960629
49999,2,CATHY (GREENLAND),GL,,,72.3,-38,3210,19870504,19890529
49999,3,GISP2,GL,,,72.58,-38.46,3205,19890608,19970125
49999,4,GRIP,GL,,,72.57,-37.62,3230,19890804,19900613
49999,5,JULIE,GL,,,72.57,-34.63,3100,19910802,19950520
49999,6,KENTON (GREENLAND),GL,,,72.28,-38.82,3185,19890609,19971231
49999,7,KLINCK,GL,,,72.31,-40.48,3105,19900809,19950517
49999,8,MATT,GL,,,73.48,-37.62,3100,19910808,19950515
70380,34061,FAUVILLE,FR,,LFOE,49.029,1.22,141.4,19730101,20231023
70740,34072,SUIPPES GUN RANGE,FR,,,49.15,4.633,192.9,19730102,19871229
70743,34072,SUIPPES RANGE (MET),FR,,LFFS,49.15,4.533,199,19880105,19971219
70881,34064,ETAIN,FR,,,49.233,5.683,237.1,19541213,19661031
71790,34051,TOUL ROSIERES,FR,,LFSL,48.783,5.983,285.9,19730101,20231023
71860,34062,PHALSBOURG,FR,,,48.817,7.2,313,19730101,19880929
73540,34048,DEOLS,FR,,LFLX,46.862,1.731,161.2,19360102,20231023
84490,13025,ROTA NAVAL AIR STATION,SP,,LERT,36.65,-6.35,25.6,19730101,20231023
162890,34113,NAPLES NAVAL AIR STATION,IT,,LIRN,40.886,14.291,89.6,19981101,20231023
164594,33126,SIGONELLA,IT,,KQNS,37.4,14.917,31.1,19790101,19971231
167464,33209,SOUDA BAY CRETE,GR,CR,KQNC,35.533,24.15,146.3,19730801,19971231
